Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Hayden Shaw,D,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0
Tyler Boland,C,13,0,1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08,0,12,0
Anthony Nellis,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tristan Pomerleau,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wyatt Bongiovanni,C,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Chris Martenet,D,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0
Henri Nikkanen,C,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0
Trent Bourque,D,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,6,0
Cody Glass,C,66,14,48,62,15,20,5,10,0,0,3,2,1,1,1,0,1,4,0,25,0.94,0.3,165,8.5
Cole Schneider,LW,71,30,30,60,17,18,11,9,0,1,7,3,4,1,0,2,3,3,1,100,0.85,0.25,157,19.1
Rocco Grimaldi,RW,44,26,26,52,14,14,8,12,1,0,5,1,5,1,0,4,1,3,1,33.3,1.18,0.32,135,19.3
Cole Smith,LW,59,21,20,41,3,62,8,6,0,2,3,2,3,1,1,0,0,0,0,0,0.69,1.05,123,17.1
Matt Donovan,D,76,8,32,40,-5,57,2,17,0,2,4,3,0,0,0,0,0,0,0,0,0.53,0.75,126,6.3
Jimmy Huntington,C,61,13,22,35,-6,35,3,6,0,0,1,1,1,1,0,1,0,0,0,0,0.57,0.57,82,15.9
Thomas Novak,C,42,7,27,34,4,16,2,15,0,1,1,0,0,0,0,0,0,2,0,0,0.81,0.38,99,7.1
Yegor Afanasyev,LW,74,12,21,33,8,45,5,9,0,0,1,2,0,0,1,0,0,2,0,0,0.45,0.61,147,8.2
Matt Luff,RW,30,14,17,31,1,16,4,9,0,0,2,3,1,0,0,1,0,0,0,0,1.03,0.53,101,13.9
Jeremy Davies,D,54,6,25,31,13,47,2,5,0,0,1,1,0,1,0,0,0,3,0,0,0.57,0.87,110,5.5
Brayden Burke,LW,46,7,23,30,9,22,3,4,0,0,2,1,0,0,1,0,0,0,0,0,0.65,0.48,48,14.6
Graham Knott,F,61,13,13,26,5,20,2,1,1,0,0,1,0,0,0,0,2,2,1,100,0.43,0.33,70,18.6
Mitchell McLain,C,76,17,6,23,-5,113,3,1,3,0,3,3,1,0,2,2,0,0,0,0,0.3,1.49,117,14.5
Marc Del Gaizo,D,67,6,13,19,-8,28,1,3,0,1,0,2,1,0,1,1,0,0,0,0,0.28,0.42,103,5.8
